"DATE_ID","DATE","WEEK_DAY","TEN_DAYS","FORTNIGHT","MONTH_NUMBER","MONTH","BIMESTER","QUARTER","SEMESTER","YEAR"
19700319,19/03/70,"Quinta-Feira",2,2,3,"Março",2,1,2,1970
19700320,20/03/70,"Sexta-Feira",2,2,3,"Março",2,1,2,1970
19700321,21/03/70,"Sábado",3,2,3,"Março",2,1,2,1970
19700322,22/03/70,"Domingo",3,2,3,"Março",2,1,2,1970
19700323,23/03/70,"Segunda-Feira",3,2,3,"Março",2,1,2,1970
19700324,24/03/70,"Terça-Feira",3,2,3,"Março",2,1,2,1970
19700325,25/03/70,"Quarta-Feira",3,2,3,"Março",2,1,2,1970
19700326,26/03/70,"Quinta-Feira",3,2,3,"Março",2,1,2,1970
19700327,27/03/70,"Sexta-Feira",3,2,3,"Março",2,1,2,1970
19700328,28/03/70,"Sábado",3,2,3,"Março",2,1,2,1970
19700329,29/03/70,"Domingo",3,2,3,"Março",2,1,2,1970
19700330,30/03/70,"Segunda-Feira",3,2,3,"Março",2,1,2,1970
19700331,31/03/70,"Terça-Feira",3,2,3,"Março",2,1,2,1970
19700401,01/04/70,"Quarta-Feira",1,1,4,"Abril",2,1,2,1970
19700402,02/04/70,"Quinta-Feira",1,1,4,"Abril",2,1,2,1970
19700403,03/04/70,"Sexta-Feira",1,1,4,"Abril",2,1,2,1970
19700404,04/04/70,"Sábado",1,1,4,"Abril",2,1,2,1970
19700405,05/04/70,"Domingo",1,1,4,"Abril",2,1,2,1970
19700406,06/04/70,"Segunda-Feira",1,1,4,"Abril",2,1,2,1970
19700407,07/04/70,"Terça-Feira",1,1,4,"Abril",2,1,2,1970
19700408,08/04/70,"Quarta-Feira",1,1,4,"Abril",2,1,2,1970
19700409,09/04/70,"Quinta-Feira",1,1,4,"Abril",2,1,2,1970
19700410,10/04/70,"Sexta-Feira",1,1,4,"Abril",2,1,2,1970
19700411,11/04/70,"Sábado",2,1,4,"Abril",2,1,2,1970
19700412,12/04/70,"Domingo",2,1,4,"Abril",2,1,2,1970
19700413,13/04/70,"Segunda-Feira",2,1,4,"Abril",2,1,2,1970
19700414,14/04/70,"Terça-Feira",2,1,4,"Abril",2,1,2,1970
19700415,15/04/70,"Quarta-Feira",2,1,4,"Abril",2,1,2,1970
19700416,16/04/70,"Quinta-Feira",2,2,4,"Abril",2,1,2,1970
19700417,17/04/70,"Sexta-Feira",2,2,4,"Abril",2,1,2,1970
19700418,18/04/70,"Sábado",2,2,4,"Abril",2,1,2,1970
19700419,19/04/70,"Domingo",2,2,4,"Abril",2,1,2,1970
19700420,20/04/70,"Segunda-Feira",2,2,4,"Abril",2,1,2,1970
19700421,21/04/70,"Terça-Feira",3,2,4,"Abril",2,1,2,1970
19700422,22/04/70,"Quarta-Feira",3,2,4,"Abril",2,1,2,1970
19700423,23/04/70,"Quinta-Feira",3,2,4,"Abril",2,1,2,1970
19700424,24/04/70,"Sexta-Feira",3,2,4,"Abril",2,1,2,1970
19700425,25/04/70,"Sábado",3,2,4,"Abril",2,1,2,1970
19700426,26/04/70,"Domingo",3,2,4,"Abril",2,1,2,1970
19700427,27/04/70,"Segunda-Feira",3,2,4,"Abril",2,1,2,1970
19700428,28/04/70,"Terça-Feira",3,2,4,"Abril",2,1,2,1970
19700429,29/04/70,"Quarta-Feira",3,2,4,"Abril",2,1,2,1970
19700430,30/04/70,"Quinta-Feira",3,2,4,"Abril",2,1,2,1970
19700501,01/05/70,"Sexta-Feira",1,1,5,"Maio",3,2,3,1970
19700502,02/05/70,"Sábado",1,1,5,"Maio",3,2,3,1970
19700503,03/05/70,"Domingo",1,1,5,"Maio",3,2,3,1970
19700504,04/05/70,"Segunda-Feira",1,1,5,"Maio",3,2,3,1970
19700505,05/05/70,"Terça-Feira",1,1,5,"Maio",3,2,3,1970
19700506,06/05/70,"Quarta-Feira",1,1,5,"Maio",3,2,3,1970
19700507,07/05/70,"Quinta-Feira",1,1,5,"Maio",3,2,3,1970
19700508,08/05/70,"Sexta-Feira",1,1,5,"Maio",3,2,3,1970
19700509,09/05/70,"Sábado",1,1,5,"Maio",3,2,3,1970
19700510,10/05/70,"Domingo",1,1,5,"Maio",3,2,3,1970
19700511,11/05/70,"Segunda-Feira",2,1,5,"Maio",3,2,3,1970
19700512,12/05/70,"Terça-Feira",2,1,5,"Maio",3,2,3,1970
19700513,13/05/70,"Quarta-Feira",2,1,5,"Maio",3,2,3,1970
19700514,14/05/70,"Quinta-Feira",2,1,5,"Maio",3,2,3,1970
19700515,15/05/70,"Sexta-Feira",2,1,5,"Maio",3,2,3,1970
19700516,16/05/70,"Sábado",2,2,5,"Maio",3,2,3,1970
19700517,17/05/70,"Domingo",2,2,5,"Maio",3,2,3,1970
19700518,18/05/70,"Segunda-Feira",2,2,5,"Maio",3,2,3,1970
19700519,19/05/70,"Terça-Feira",2,2,5,"Maio",3,2,3,1970
19700520,20/05/70,"Quarta-Feira",2,2,5,"Maio",3,2,3,1970
19700521,21/05/70,"Quinta-Feira",3,2,5,"Maio",3,2,3,1970
19700522,22/05/70,"Sexta-Feira",3,2,5,"Maio",3,2,3,1970
19700523,23/05/70,"Sábado",3,2,5,"Maio",3,2,3,1970
19700524,24/05/70,"Domingo",3,2,5,"Maio",3,2,3,1970
19700525,25/05/70,"Segunda-Feira",3,2,5,"Maio",3,2,3,1970
19700526,26/05/70,"Terça-Feira",3,2,5,"Maio",3,2,3,1970
19700527,27/05/70,"Quarta-Feira",3,2,5,"Maio",3,2,3,1970
19700528,28/05/70,"Quinta-Feira",3,2,5,"Maio",3,2,3,1970
19700529,29/05/70,"Sexta-Feira",3,2,5,"Maio",3,2,3,1970
19700530,30/05/70,"Sábado",3,2,5,"Maio",3,2,3,1970
19700531,31/05/70,"Domingo",3,2,5,"Maio",3,2,3,1970
19700601,01/06/70,"Segunda-Feira",1,1,6,"Junho",3,2,3,1970
19700602,02/06/70,"Terça-Feira",1,1,6,"Junho",3,2,3,1970
19700603,03/06/70,"Quarta-Feira",1,1,6,"Junho",3,2,3,1970
19700604,04/06/70,"Quinta-Feira",1,1,6,"Junho",3,2,3,1970
19700605,05/06/70,"Sexta-Feira",1,1,6,"Junho",3,2,3,1970
19700606,06/06/70,"Sábado",1,1,6,"Junho",3,2,3,1970
19700607,07/06/70,"Domingo",1,1,6,"Junho",3,2,3,1970
19700608,08/06/70,"Segunda-Feira",1,1,6,"Junho",3,2,3,1970
19700609,09/06/70,"Terça-Feira",1,1,6,"Junho",3,2,3,1970
19700610,10/06/70,"Quarta-Feira",1,1,6,"Junho",3,2,3,1970
19700611,11/06/70,"Quinta-Feira",2,1,6,"Junho",3,2,3,1970
19700612,12/06/70,"Sexta-Feira",2,1,6,"Junho",3,2,3,1970
19700613,13/06/70,"Sábado",2,1,6,"Junho",3,2,3,1970
19700614,14/06/70,"Domingo",2,1,6,"Junho",3,2,3,1970
19700615,15/06/70,"Segunda-Feira",2,1,6,"Junho",3,2,3,1970
19700616,16/06/70,"Terça-Feira",2,2,6,"Junho",3,2,3,1970
19700617,17/06/70,"Quarta-Feira",2,2,6,"Junho",3,2,3,1970
19700618,18/06/70,"Quinta-Feira",2,2,6,"Junho",3,2,3,1970
19700619,19/06/70,"Sexta-Feira",2,2,6,"Junho",3,2,3,1970
19700620,20/06/70,"Sábado",2,2,6,"Junho",3,2,3,1970
19700621,21/06/70,"Domingo",3,2,6,"Junho",3,2,3,1970
19700622,22/06/70,"Segunda-Feira",3,2,6,"Junho",3,2,3,1970
19700623,23/06/70,"Terça-Feira",3,2,6,"Junho",3,2,3,1970
19700624,24/06/70,"Quarta-Feira",3,2,6,"Junho",3,2,3,1970
19700625,25/06/70,"Quinta-Feira",3,2,6,"Junho",3,2,3,1970
19700626,26/06/70,"Sexta-Feira",3,2,6,"Junho",3,2,3,1970
19700627,27/06/70,"Sábado",3,2,6,"Junho",3,2,3,1970
19700628,28/06/70,"Domingo",3,2,6,"Junho",3,2,3,1970
19700629,29/06/70,"Segunda-Feira",3,2,6,"Junho",3,2,3,1970
19700630,30/06/70,"Terça-Feira",3,2,6,"Junho",3,2,3,1970
19700701,01/07/70,"Quarta-Feira",1,1,7,"Julho",4,2,4,1970
19700702,02/07/70,"Quinta-Feira",1,1,7,"Julho",4,2,4,1970
19700703,03/07/70,"Sexta-Feira",1,1,7,"Julho",4,2,4,1970
